year month day hour kwh cumulated_kwh
2015 1 10 8 94 840607
2015 1 10 9 75 840682
2015 1 10 10 79 840761
2015 1 10 11 78 840839
2015 1 10 12 86 840925
2015 1 10 13 86 841011
2015 1 10 14 87 841098
2015 1 10 15 91 841189
2015 1 10 16 92 841281
2015 1 10 17 95 841376
2015 1 10 18 91 841467
2015 1 10 19 97 841564
2015 1 10 20 96 841660
2015 1 10 21 91 841751
2015 1 10 22 92 841843
2015 1 10 23 95 841938
2015 1 11 0 93 842031
2015 1 11 1 95 842126
2015 1 11 2 91 842217
2015 1 11 3 91 842308
2015 1 11 4 93 842401
2015 1 11 5 98 842499
2015 1 11 6 96 842595
2015 1 11 7 100 842695
2015 1 11 8 98 842793
2015 1 11 9 93 842886
2015 1 11 10 95 842981
2015 1 11 11 93 843074
2015 1 11 12 91 843165
2015 1 11 13 89 843254
2015 1 11 14 88 843342
2015 1 11 15 88 843430
2015 1 11 16 90 843520
2015 1 11 17 94 843614
2015 1 11 18 99 843713
2015 1 11 19 80 843793
2015 1 11 20 70 843863
2015 1 11 21 80 843943
2015 1 11 22 96 844039
2015 1 11 23 78 844117
2015 1 12 0 82 844199
2015 1 12 1 90 844289
2015 1 12 2 89 844378
2015 1 12 3 90 844468
2015 1 12 4 89 844557
2015 1 12 5 93 844650
2015 1 12 6 82 844732
2015 1 12 7 44 844776
2015 1 12 8 31 844807
2015 1 12 9 11 844818
2015 1 12 10 19 844837
2015 1 12 11 57 844894
2015 1 12 12 24 844918
2015 1 12 13 51 844969
2015 1 12 14 78 845047
2015 1 12 15 79 845126
2015 1 12 16 79 845205
2015 1 12 17 80 845285
2015 1 12 18 65 845350
2015 1 12 19 72 845422
2015 1 12 20 43 845465
2015 1 12 21 61 845526
2015 1 12 22 83 845609
2015 1 12 23 83 845692
2015 1 13 0 84 845776
2015 1 13 1 80 845856
2015 1 13 2 82 845938
2015 1 13 3 75 846013
2015 1 13 4 81 846094
2015 1 13 5 82 846176
