year month day hour T01 T02 T03 T04 T05 T06 T07 T08 T09 T10 T11 T12 T13 T14 T15 T16
2015 1 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 9 NA 3843 NA 4953 6094 4673 4911 NA 5667 5118 5466 4703 4703 NA NA NA
2015 1 4 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 13 NA 4398 NA 4941 6948 5222 5600 NA 6301 6289 6503 6100 5978 NA NA NA
2015 1 4 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 17 NA 3062 NA 3660 5222 4111 4484 NA 5106 5222 5270 5155 5148 NA NA NA
2015 1 4 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 21 NA 2617 NA 3788 4941 3910 4154 NA 4837 4874 4874 4752 4904 NA NA NA
2015 1 4 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 9 NA 1885 NA 2513 3050 2544 2647 NA 3044 2971 3129 3044 3111 NA NA NA
2015 1 5 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 13 NA 2617 NA 2873 3697 2715 2708 NA 2977 3013 3105 3148 3166 NA NA NA
2015 1 5 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 17 NA 1842 NA 2056 2885 2166 2086 NA 2251 2397 2477 2477 2562 NA NA NA
2015 1 5 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 21 NA 1623 NA 1934 2367 1757 1732 NA 1800 1684 1720 1720 1800 NA NA NA
2015 1 5 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 5 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 6 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
